"store_id","store_name","address","city","state","zip","open_date"
1,"100-17 BEACH CHANNEL DR","100-17 BEACH CHANNEL DR","ROCKAWAY BEACH    ","NY","11694","1993-12-09"
2,"101 AVE CONVENIENCE STO","77-02 101ST AVE","OZONE PARK        ","NY","11416","1993-07-14"
3,"1060 GREENE DELI       ","1060 GREENE AVE","BROOKLYN          ","NY","11221","2025-05-03"
4,"1064 FUEL              ","1064 ATLANTIC AVE","BROOKLYN          ","NY","11238","2025-04-30"
5,"1066 RUTLAND DELI      ","1066 RUTLAND ROAD","BROOKLYN          ","NY","11212","2025-06-16"
